Soil Type,Average Temperature (°C),Average Rainfall (mm),Sunlight Hours (hours),Historical Crop Yields,Predicted Crop Type,Predicted Crop Yield,Confidence Score for Prediction
Sandy soil,35.77511475,2600.082409,11.20396162,3.718744276,Cereal,High,0.5253144104
Clayey soil,38.54490577,2325.112282,4.661144775,2.928731727,Cereal,Medium,0.6349671039
Sandy soil,22.50070327,670.2040283,10.40424261,3.231825896,Pulses,Medium,0.5165668959
Red soil,33.74131573,2683.165795,9.985816358,3.39965004,Commercial,High,0.8067918456
Clayey soil,15.96980155,2843.706931,10.77664441,2.459063231,Cereal,Medium,0.7994967453
Red soil,27.43867264,2296.594582,8.995545189,3.937602541,Commercial,Medium,0.8350884327
Loamy soil,20.74053415,2320.711298,9.384749166,3.466934344,Cereal,Low,0.8235642993
Black soil,39.67037877,975.0333044,10.67660174,1.112038308,Pulses,Medium,0.5485584379
Loamy soil,25.82254401,2318.286939,6.415454622,3.431508241,Pulses,Medium,0.7025455049
Red soil,37.79443132,1002.947546,8.022437934,4.064087444,Cereal,High,0.5132014802
Red soil,31.14080076,2362.108239,8.665563064,4.170046706,Pulses,Low,0.992282129
Red soil,21.7646867,2150.599804,4.909555791,1.723134865,Commercial,High,0.6495149505
Black soil,20.72575749,532.3863624,4.546813799,1.964844707,Cereal,High,0.7911673389
Red soil,30.28875685,2581.029896,9.978190376,3.874421064,Cereal,High,0.9716601318
Red soil,34.30895448,842.6883821,5.771268275,4.779764678,Fruit/Vegetable,High,0.814042749
Clayey soil,19.39552313,613.6757064,5.966837381,3.923992885,Cereal,Medium,0.5795080809
Loamy soil,35.51994452,2031.241382,9.399731022,3.527477315,Pulses,Low,0.9229920158
Sandy soil,32.26716137,2510.157723,10.64581902,2.626289104,Pulses,Low,0.9785543416
Sandy soil,37.65395282,590.259995,8.929208352,1.702851039,Fruit/Vegetable,Low,0.8463311106
Loamy soil,16.86700457,2362.139251,6.895425459,1.068051948,Fruit/Vegetable,Low,0.9447638405
Clayey soil,28.38436916,1353.163594,7.364681731,1.131482927,Fruit/Vegetable,High,0.5644550714
Sandy soil,31.60929084,1930.290549,4.154657833,3.277551705,Fruit/Vegetable,Medium,0.6313626582
Black soil,17.55496412,2603.828935,8.984910526,3.313334157,Cereal,Low,0.7897545109
Loamy soil,35.12775267,2628.226458,10.56677898,4.368353521,Cereal,Low,0.6343384899
Loamy soil,28.49761243,763.3785482,6.224572817,3.852664739,Pulses,Medium,0.5421769088
Black soil,38.66046789,1417.316405,7.65046504,4.220357955,Cereal,Low,0.7494760426
Red soil,30.09478764,685.2234901,9.421164664,2.035920373,Pulses,Medium,0.9801520284
Loamy soil,23.14088529,1607.99709,10.80201719,2.457607932,Cereal,Low,0.5774776937
Clayey soil,39.3058295,2535.112264,4.846424251,1.358503599,Fruit/Vegetable,Low,0.8864984908
Clayey soil,28.35740975,2830.289913,9.959375343,4.035775553,Fruit/Vegetable,Medium,0.547612574
Loamy soil,24.19507514,1164.201647,9.572493636,3.773071115,Pulses,Low,0.9260941623
Red soil,27.46338075,669.2439933,6.189385759,4.001840586,Cereal,High,0.8868911487
Clayey soil,19.83076399,2829.606363,10.64787231,4.871372549,Fruit/Vegetable,High,0.638485568
Black soil,30.69424293,711.4246722,4.439410504,2.422721123,Fruit/Vegetable,Low,0.8802716175
Loamy soil,32.3677218,500.5771023,5.772132266,1.661078649,Commercial,Medium,0.9537667608
Black soil,19.3033077,1801.256813,11.58043627,2.153484531,Fruit/Vegetable,High,0.6392265261
Sandy soil,37.49877509,704.5066267,9.145235758,1.109594695,Fruit/Vegetable,Medium,0.7954725119
Sandy soil,18.33873744,922.21594,6.1856493,2.037310641,Commercial,High,0.6491786861
Clayey soil,20.92028218,1347.358269,9.806937108,1.192673579,Commercial,Low,0.6955154818
Sandy soil,36.39118422,1364.011975,7.441678788,2.930560926,Pulses,High,0.5886366434
Red soil,15.20832299,2381.745774,8.25445029,4.924354773,Pulses,High,0.9431892871
Red soil,29.59411676,1384.640271,11.92159133,3.519474535,Commercial,High,0.6642404378
Sandy soil,34.49030336,1811.485322,10.50928083,1.294013106,Cereal,Medium,0.7233560564
Loamy soil,24.3658279,1495.70111,7.98703927,1.949682921,Pulses,Medium,0.8577859764
Loamy soil,24.01711397,2337.759598,4.658820731,1.74219689,Commercial,High,0.6284221274
Red soil,32.18981713,2011.149701,11.11973675,1.242113772,Cereal,Low,0.6208802195
Black soil,35.71249144,1616.744712,4.345495171,3.602852618,Pulses,Medium,0.9877196782
Red soil,18.34850881,2351.842989,9.064175176,4.676229621,Pulses,High,0.5255438764
Loamy soil,35.91607478,1684.524691,7.944000702,3.178221834,Fruit/Vegetable,Medium,0.6057544109
Black soil,25.68962185,876.6869111,4.665425544,2.301275747,Pulses,Medium,0.8486016036
Sandy soil,17.3277682,1727.658073,8.710207327,3.298496486,Cereal,High,0.5803625672
Loamy soil,28.4668994,1614.996632,9.72701499,2.433253244,Fruit/Vegetable,Low,0.770455959
Loamy soil,17.20800939,2888.070435,11.8142564,2.762108659,Cereal,Low,0.6871776888
Clayey soil,15.10340178,801.5185324,10.30617188,2.834656322,Commercial,High,0.5788308135
Loamy soil,29.3523846,1275.011332,7.596913091,3.985216808,Commercial,Low,0.8990069548
Clayey soil,23.74136432,1573.490936,5.549997924,4.302688914,Fruit/Vegetable,Medium,0.9192470203
Sandy soil,20.21264735,1350.788453,5.753053683,3.411181875,Fruit/Vegetable,High,0.5676927941
Black soil,17.21801468,1701.894144,11.88334165,1.450648908,Pulses,Low,0.6558257311
Black soil,26.56750418,1556.30703,10.92876306,3.371258864,Cereal,High,0.8759323986
Clayey soil,21.81142355,2123.051963,6.166085545,3.847905497,Fruit/Vegetable,High,0.9724349342
Red soil,39.61368845,2253.392093,7.690931733,1.108935908,Fruit/Vegetable,Medium,0.9063448115
Black soil,38.85240183,1688.441945,10.33848782,3.908538639,Commercial,High,0.6273768278
Clayey soil,33.26457481,659.8758265,4.497649529,4.085114741,Pulses,Medium,0.8344367977
Black soil,39.9201989,1534.821618,6.648860329,2.577944003,Cereal,High,0.8884122718
Clayey soil,33.09487644,1300.9629,11.7231637,1.916912702,Cereal,High,0.5715291994
Red soil,33.84239804,2942.942997,7.665119741,4.873859423,Pulses,Medium,0.8239637665
Black soil,23.044487,1808.383988,9.279510736,4.594898871,Pulses,High,0.7407310677
Sandy soil,36.10670763,2458.991935,5.167183502,3.955689078,Pulses,Medium,0.8229827572
Black soil,15.15521825,2536.457634,4.313024961,4.582768594,Commercial,Medium,0.8608076404
Black soil,15.99653824,2916.805326,5.055577341,1.65477936,Commercial,Low,0.9583203012
Sandy soil,32.81120033,2199.246376,4.703639709,2.09514118,Commercial,Low,0.5678714405
Clayey soil,23.69645221,741.2681921,6.849157136,4.542600542,Cereal,Medium,0.6969809941
Black soil,39.99074798,1615.137543,8.416540385,1.144361848,Pulses,Medium,0.6228201015
Loamy soil,18.27169974,2864.46845,10.5921147,2.705584618,Fruit/Vegetable,Medium,0.9523415981
Red soil,19.38061261,2338.447016,10.04114746,3.006227078,Cereal,Medium,0.6404647191
Loamy soil,32.56738969,572.0731802,5.729974464,3.53199412,Pulses,Medium,0.8770334871
Clayey soil,37.70350247,2209.098488,9.866365397,2.675863048,Cereal,Low,0.7947100451
Clayey soil,20.75171991,1848.716435,6.081568494,1.386205453,Pulses,High,0.518779681
Black soil,24.5222475,1521.210996,4.165849712,1.613431955,Fruit/Vegetable,Low,0.6298401329
Clayey soil,21.24413491,701.7848301,7.02903146,1.203588735,Commercial,Medium,0.8827927207
Loamy soil,26.66022033,1639.25424,10.44934164,3.155615955,Fruit/Vegetable,Medium,0.8220960138
Clayey soil,26.25211036,967.8254288,8.498442877,4.378749818,Fruit/Vegetable,Medium,0.9475612429
Red soil,19.41486012,2991.944768,10.16899595,1.896217279,Pulses,Low,0.541930859
Clayey soil,20.98750854,2308.260075,11.51205216,2.676031819,Commercial,Medium,0.9186525566
Loamy soil,22.86857958,1053.513772,4.61188179,2.180910527,Fruit/Vegetable,Low,0.7457767869
Red soil,16.74066095,882.9723833,5.061288114,3.662246825,Commercial,Medium,0.6431749474
Black soil,35.68833741,1926.154376,5.76791698,2.268127303,Pulses,Medium,0.818165158
Sandy soil,30.7472436,809.1834031,9.278610399,4.438676083,Pulses,Low,0.9716451783
Sandy soil,35.61200247,2294.448484,9.534568671,4.823596781,Pulses,Medium,0.9873525436
Black soil,32.29644986,2198.604458,9.175146671,2.398119943,Cereal,Medium,0.6000561416
Sandy soil,15.100392,803.9709562,7.963020326,4.966571373,Cereal,Medium,0.7130590478
Sandy soil,19.6373036,1011.007458,10.9556643,1.446951519,Fruit/Vegetable,Low,0.9931436289
Red soil,29.19546194,1603.912501,6.96646626,1.266496892,Cereal,Low,0.7147155656
Clayey soil,29.89493442,1878.212298,9.343506709,2.888291254,Commercial,High,0.747983984
Clayey soil,36.69845729,2053.103685,10.31929432,2.52564259,Fruit/Vegetable,Medium,0.7688037186
Clayey soil,26.06991884,2322.233887,5.844813058,1.743712108,Fruit/Vegetable,High,0.9444777431
Clayey soil,20.89745977,1516.993359,6.93958672,1.273634148,Fruit/Vegetable,High,0.64762333
Black soil,20.87783811,2687.243777,10.60752428,4.317029466,Fruit/Vegetable,High,0.6584364297
Clayey soil,32.87578277,1708.201721,4.838927273,4.723053071,Cereal,Low,0.8634744509
Red soil,31.69546787,2601.394596,10.61212798,1.830949658,Pulses,High,0.8376839547
Red soil,29.12703973,890.3304272,6.869357846,2.510148719,Commercial,Medium,0.8672787948
Red soil,31.71021829,710.6769055,5.574794277,4.369136524,Commercial,Low,0.5143874585
Clayey soil,25.53868593,887.7843844,6.372574378,3.651735045,Fruit/Vegetable,Low,0.7665839685
Sandy soil,28.1877378,2586.547157,8.816761244,1.670193754,Pulses,Low,0.6430917323
Sandy soil,18.08734923,1800.373315,5.523888553,1.095271825,Cereal,Low,0.629008737
Clayey soil,35.79943604,891.0205783,6.955259164,3.131400502,Cereal,Medium,0.5811102566
Sandy soil,39.66414093,1212.376414,5.450414496,1.368760384,Pulses,Medium,0.9007273558
Red soil,26.96172616,1749.732789,10.57637148,2.584331262,Fruit/Vegetable,Medium,0.6683734201
Clayey soil,38.63201593,2642.292317,8.271641871,3.428892822,Fruit/Vegetable,Low,0.5209797626
Sandy soil,16.39474866,740.4906528,7.41163887,3.948133086,Pulses,Medium,0.5349540117
Loamy soil,26.29656862,2699.72257,9.360401514,2.048700744,Cereal,Medium,0.8960696231
Loamy soil,26.91991606,2787.137781,8.816675889,1.237181628,Cereal,High,0.9926416695
Clayey soil,21.11506348,2527.908158,4.328216616,3.222030299,Fruit/Vegetable,Medium,0.6722836944
Sandy soil,21.37168177,2611.251756,4.638634751,1.169174743,Pulses,High,0.8623348718
Black soil,33.12791709,2446.864949,11.62571965,2.838478213,Fruit/Vegetable,High,0.896937764
Clayey soil,23.96186878,2735.667931,6.951496535,1.36132235,Commercial,Medium,0.7105586612
Sandy soil,34.77778879,889.9739894,10.42773789,2.812946436,Commercial,Low,0.8064901863
Sandy soil,36.98446628,2505.312524,6.982481305,2.79830389,Fruit/Vegetable,Low,0.5679105314
Red soil,39.7575484,1094.917263,9.40013128,2.842474703,Commercial,Medium,0.7721186801
Clayey soil,20.31649872,933.710572,10.82872315,2.795368166,Pulses,High,0.6995247687
Red soil,33.9866231,2973.715006,10.14633417,2.302309258,Fruit/Vegetable,Low,0.8674302779
Loamy soil,17.54156009,2270.529056,5.563814449,1.36948961,Fruit/Vegetable,High,0.614214618
Black soil,15.04052976,1165.487406,7.969253497,2.139672882,Cereal,Low,0.9716359936
Sandy soil,35.98241186,692.8776776,11.88367662,3.971220522,Pulses,Medium,0.8892879112
Sandy soil,35.48431646,1363.736478,7.056542781,1.684104947,Commercial,Low,0.5057276316
Black soil,22.37274378,2579.598716,6.788008132,4.061954858,Fruit/Vegetable,Low,0.826314291
Loamy soil,20.20491508,1447.098073,11.02959978,1.786758391,Pulses,Medium,0.8009546233
Loamy soil,18.69571551,872.7964551,5.696796701,2.552485534,Pulses,Medium,0.7753151223
Sandy soil,22.42127386,1308.468716,8.297302864,3.390435198,Cereal,Low,0.7896160284
Black soil,29.27570069,2884.205887,10.09272652,1.656925361,Fruit/Vegetable,Low,0.5153067933
Red soil,16.53504577,2653.078051,8.506914217,2.574127829,Cereal,Medium,0.6211559141
Clayey soil,27.1644952,962.4586071,9.110804975,2.825782678,Cereal,Medium,0.8987189037
Red soil,30.15747553,828.7712366,5.350132879,3.077403318,Commercial,Medium,0.9072923095
Loamy soil,36.60566019,1743.613883,8.488606273,1.712724395,Fruit/Vegetable,Medium,0.5166099954
Loamy soil,36.46649685,2426.508246,6.513823443,2.654598817,Pulses,Low,0.7651930827
Black soil,27.69066229,713.4660682,7.458474234,2.622165612,Cereal,High,0.7927347152
Loamy soil,20.92371334,1112.583618,10.07365793,4.873907485,Fruit/Vegetable,Low,0.6356568726
Sandy soil,36.78243931,1142.517328,5.346695113,1.647077214,Commercial,High,0.7289944494
Sandy soil,18.21817513,2778.508933,9.513379322,4.811975157,Commercial,Medium,0.7381133798
Loamy soil,34.78370799,2205.713735,6.544401483,1.325021597,Cereal,High,0.9585301196
Sandy soil,32.42546092,824.0502097,8.652880372,4.903282675,Pulses,Low,0.6773887641
Red soil,15.43189888,655.6276653,6.948522407,1.170327625,Commercial,High,0.6809151681
Sandy soil,17.19165715,2233.497639,8.085261982,4.030755085,Pulses,Low,0.6492383039
Loamy soil,15.5907244,1219.001155,4.433978272,4.062388059,Commercial,Medium,0.6105501228
Red soil,22.93912802,2942.797188,5.331624253,2.244019224,Fruit/Vegetable,Medium,0.7448993712
Red soil,24.08255657,2748.591206,11.3758152,1.533178703,Cereal,Low,0.8743232741
Black soil,27.70603073,927.1907002,6.972120236,2.966393418,Pulses,Medium,0.8592382416
Loamy soil,24.52210025,859.4797992,9.567415385,1.741135881,Commercial,Medium,0.9235413941
Red soil,23.39575661,1928.085439,11.48673247,2.679783934,Cereal,Low,0.6329070334
Sandy soil,18.5470086,2866.020594,7.558880702,3.906456758,Pulses,Medium,0.9520669753
Sandy soil,25.2444301,528.091793,8.989665484,1.11284169,Cereal,Medium,0.5360631349
Black soil,26.94477108,2335.137465,5.261211199,1.019324052,Fruit/Vegetable,Low,0.740638147
Loamy soil,35.01351301,2244.531542,8.20176157,4.260749392,Commercial,Medium,0.9071211167
Black soil,18.39112482,1390.111398,7.86344116,4.168852933,Fruit/Vegetable,High,0.5339076623
Sandy soil,25.4047336,2454.364632,10.51873927,4.213331242,Pulses,Low,0.7473896475
Red soil,37.70506809,730.9617418,9.942691203,3.037300221,Cereal,Low,0.5600942407
Sandy soil,36.36664957,1343.44246,6.092893464,2.232370751,Pulses,Low,0.9938133985
Red soil,30.40760039,719.2379726,7.558747328,2.976908571,Commercial,High,0.7581616045
Loamy soil,31.31357054,2509.394032,9.200060422,1.30638516,Commercial,High,0.8854632822
Loamy soil,35.04110865,523.461568,6.820429442,4.094163764,Pulses,High,0.7327614855
Loamy soil,30.28312424,1607.068653,5.734561822,2.827698607,Pulses,Low,0.7178391373
Loamy soil,25.00721404,2935.133613,9.786370428,4.86672984,Commercial,Low,0.6703758367
Black soil,32.07843671,1740.708614,9.65056079,4.941867199,Commercial,Low,0.9885122575
Clayey soil,35.02637705,2586.276402,7.694786927,3.199134016,Commercial,High,0.8267680611
Red soil,25.06855217,1558.648423,4.264514262,2.230609673,Pulses,Low,0.6249567999
Loamy soil,37.41113296,2565.798776,10.29781592,1.700432207,Fruit/Vegetable,Low,0.7895667075
Black soil,25.79013397,1629.868863,7.208147243,1.595542125,Cereal,High,0.9978573595
Red soil,22.66387768,1941.856638,8.209263145,2.482158171,Pulses,High,0.7303177978
Sandy soil,15.25937262,525.5792502,8.778188076,1.12233264,Fruit/Vegetable,Medium,0.853556075
Sandy soil,27.40974804,2909.01004,6.30197652,3.418185632,Pulses,Low,0.5194040494
Loamy soil,21.40382298,1163.958353,8.436249691,4.368939246,Pulses,High,0.7302796488
Clayey soil,24.21191126,676.7665035,7.255329829,3.260716766,Cereal,High,0.8001127813
Red soil,32.93100844,1937.955095,4.074757163,1.857532918,Cereal,Low,0.7399934758
Loamy soil,30.51856879,1357.914236,4.686921266,4.280121815,Cereal,High,0.8403216136
Sandy soil,31.05795537,1599.905045,7.293210455,1.942750351,Fruit/Vegetable,Low,0.8748353593
Black soil,23.1790238,617.431721,7.035689282,1.807456976,Fruit/Vegetable,High,0.8605425311
Clayey soil,17.84688645,1639.450138,4.781788654,3.565816574,Cereal,High,0.8362429375
Red soil,24.71044516,720.3523023,7.003643967,1.428984699,Commercial,High,0.801733618
Red soil,32.58300418,2245.53446,5.966485361,3.037686444,Fruit/Vegetable,Medium,0.5170174239
Sandy soil,21.68623672,2713.775764,6.73769818,1.893611378,Fruit/Vegetable,High,0.7297862375
Sandy soil,32.59379075,634.4689216,7.419227159,4.68579774,Pulses,Low,0.8548608293
Loamy soil,28.54519103,2872.227183,10.5124573,3.425289558,Cereal,High,0.9068247731
Loamy soil,18.02163501,2914.030598,6.731905417,1.222707544,Fruit/Vegetable,Low,0.9159104184
Sandy soil,16.07844971,590.3001443,6.493249754,1.41953512,Fruit/Vegetable,High,0.9564172816
Black soil,15.53721516,2983.006919,10.65485725,1.197703527,Commercial,Low,0.9064869618
Sandy soil,27.43515101,1565.191491,5.563805791,1.251962623,Fruit/Vegetable,Medium,0.6651250944
Loamy soil,18.1308942,1358.215883,9.395471514,3.563956828,Fruit/Vegetable,Medium,0.9719417798
Clayey soil,32.29682745,1521.822881,6.141094886,4.649403212,Cereal,Low,0.5125941659
Sandy soil,28.95404318,1103.174722,10.66945319,3.569711581,Pulses,Low,0.7512480851
Sandy soil,24.03426987,2068.090963,7.665215346,1.519602261,Pulses,High,0.8652679573
Black soil,36.68545706,955.232031,8.181441032,3.056129272,Commercial,High,0.6046726378
Sandy soil,33.48186893,1924.677528,10.70291023,4.28997049,Fruit/Vegetable,Medium,0.9752936974
Sandy soil,23.10282833,1307.023299,6.972846705,3.134738416,Fruit/Vegetable,Low,0.7752065674
Loamy soil,33.57245477,2877.112575,7.036729615,4.801235708,Cereal,Low,0.8900123569
Black soil,32.7987065,2893.339177,5.547187591,2.026706672,Pulses,Low,0.6900280439
Black soil,35.79511128,1157.917417,4.137565741,3.281292715,Commercial,Low,0.7737193198
Black soil,16.37539109,2374.243646,4.032265842,4.023280428,Cereal,High,0.8914784994
Black soil,33.56708288,2787.483259,4.733147808,1.931345883,Pulses,Medium,0.5352888847
Clayey soil,31.93801748,2027.260254,4.867727915,3.60755362,Pulses,Medium,0.7808882634
Black soil,38.67645965,1524.989064,11.76726718,2.4568313,Cereal,Low,0.7775317542
Clayey soil,19.21615997,2535.63132,11.09765789,1.017189398,Cereal,High,0.9750534415
Loamy soil,18.06020948,1526.127082,10.68106196,4.521072036,Commercial,High,0.8183492791
Red soil,30.26696331,2331.868432,6.541802095,3.009678434,Pulses,Low,0.8964901495
Red soil,16.46787382,895.4085143,11.05909784,1.312015764,Cereal,Medium,0.9787057881
Black soil,25.99716454,1584.444644,7.690699755,3.70594808,Fruit/Vegetable,Medium,0.9012536599
Loamy soil,38.92600033,1822.610794,5.857241029,1.184489988,Fruit/Vegetable,Medium,0.7430705906
Sandy soil,21.16418276,2393.094263,7.5578048,3.325373029,Commercial,Low,0.5817122986
Red soil,19.93853111,1220.003272,8.781495582,4.800838428,Pulses,Medium,0.8649125045
Loamy soil,24.57342807,515.1711811,5.982665075,3.782048346,Fruit/Vegetable,Low,0.6620091834
Clayey soil,31.95047646,963.2648798,5.964826352,1.250191369,Fruit/Vegetable,Low,0.7734705887
Red soil,29.02444394,844.9394084,7.832634337,3.950722375,Cereal,Low,0.6824208675
Loamy soil,27.05768403,1606.537585,8.365390075,3.224591555,Cereal,Medium,0.8225663067
Loamy soil,35.77501879,1968.376876,6.160239542,2.9548585,Pulses,Low,0.8891506825
Sandy soil,26.82655862,1000.215116,6.415542589,3.710198277,Cereal,High,0.6667208415
Black soil,26.74739569,2007.452927,7.064016261,3.43705796,Commercial,Low,0.6404533663
Red soil,20.13506461,2335.399441,4.589960211,4.552637651,Commercial,Medium,0.7532398798
Black soil,15.13302643,1392.576632,11.76335267,4.578465777,Pulses,Low,0.8185029379
Clayey soil,19.68418565,1058.449518,8.602791678,4.438972969,Cereal,High,0.7020024304
Sandy soil,20.81996316,515.3932561,9.657844666,3.705721387,Commercial,High,0.9278660481
Sandy soil,25.84765075,2157.677867,4.350412397,2.266238658,Commercial,Low,0.5546928093
Loamy soil,24.95725731,2246.825462,8.604164445,4.909329832,Commercial,Medium,0.9521293804
Sandy soil,19.48635114,1162.621892,11.2412382,1.730404139,Commercial,Medium,0.7445579501
Sandy soil,39.20333201,1795.515211,10.35705863,4.052186896,Commercial,Low,0.7855344902
Loamy soil,16.06700079,1100.579617,10.99437571,4.030846419,Fruit/Vegetable,Low,0.6074818746
Loamy soil,15.07786788,1302.640986,5.82780578,2.014090071,Pulses,Medium,0.9385275633
Black soil,37.33885026,632.5090804,9.512436551,4.512218796,Commercial,Medium,0.5147697388
Sandy soil,22.85607781,928.7149045,8.812929026,1.43566181,Pulses,High,0.9681529272
Sandy soil,37.56929602,2764.036647,6.559886884,4.983989511,Fruit/Vegetable,Medium,0.870539535
Loamy soil,27.17355817,2839.761004,4.368547314,4.742808992,Cereal,High,0.9084749835
Sandy soil,37.01664038,2508.017475,10.92887938,4.480290763,Pulses,Low,0.9886976442
Clayey soil,30.38847812,2460.904418,6.008736081,1.119237524,Pulses,High,0.8095034892
Sandy soil,24.17156669,1247.033538,6.261975581,3.668110691,Pulses,Low,0.8323057365
Loamy soil,27.04111721,899.1219999,5.681834101,4.917041776,Commercial,High,0.6504155419
Loamy soil,18.89720921,2251.075755,9.672837795,3.505359801,Fruit/Vegetable,Medium,0.921612681
Black soil,38.75394949,2456.845584,5.489510694,4.976445519,Cereal,High,0.7214188034
Clayey soil,20.1097251,1732.710151,7.589703317,1.091891407,Fruit/Vegetable,Low,0.7615716814
Sandy soil,16.60887239,2815.038085,7.267390992,3.062112975,Cereal,Low,0.9547222753
Sandy soil,24.53591005,819.4701999,4.943609585,1.708444392,Pulses,High,0.5571477214
Sandy soil,20.25658458,566.0242798,10.27198788,1.773775984,Commercial,Medium,0.9456361261
Sandy soil,33.7688868,652.2261476,6.861572462,1.700001321,Commercial,Medium,0.5428530732
Red soil,32.27123597,576.1181794,9.841676642,2.497938081,Cereal,High,0.5776912088
Black soil,17.51392517,2996.785174,6.757693328,4.633789052,Fruit/Vegetable,Low,0.7891796274
Red soil,35.81126734,1974.463307,11.69403568,2.022340118,Fruit/Vegetable,Low,0.9929337659
Sandy soil,23.40803539,2028.265496,7.489506288,4.374386589,Pulses,Medium,0.8377905092
Red soil,15.39671478,1534.700594,5.435185673,3.576894702,Pulses,High,0.5975354763
Clayey soil,18.36836498,1689.87741,6.04996006,2.180633487,Cereal,High,0.9120233571
Black soil,22.04758403,2689.512791,8.909223751,1.081924176,Cereal,Low,0.9038154877
Red soil,22.77186137,2633.599915,10.44769218,3.703573993,Fruit/Vegetable,High,0.8130942834
Sandy soil,31.45447483,1559.398293,6.219563385,1.592584546,Fruit/Vegetable,High,0.58004855
Red soil,32.84773624,681.1396225,11.36496202,2.898329869,Fruit/Vegetable,High,0.9315296204
Red soil,24.99861482,1098.284662,7.109030287,2.928717136,Fruit/Vegetable,High,0.8724353659
Clayey soil,19.32120817,1298.705811,5.132309799,1.32737243,Fruit/Vegetable,Medium,0.6556713503
Sandy soil,35.31070945,691.6912073,5.017474529,2.642774994,Pulses,High,0.7920288209
Sandy soil,16.92592315,1772.567065,8.665665391,2.400487514,Commercial,Medium,0.5540869503
Sandy soil,16.63277045,2192.798154,4.343324907,3.520056994,Cereal,Medium,0.8417784753
Sandy soil,26.77821915,1856.398336,7.037075601,2.434230336,Fruit/Vegetable,Medium,0.7489493517
Loamy soil,29.97773944,2838.857511,8.103700247,4.316301103,Commercial,Low,0.6632453408
Clayey soil,28.34865105,2352.489388,11.35070725,3.404785398,Commercial,High,0.7540088784
Sandy soil,33.94649146,2238.368307,8.850153129,2.306259087,Cereal,High,0.8461063619
Sandy soil,36.72860499,1157.238624,7.72904827,1.468285286,Pulses,Medium,0.6185456904
Black soil,30.84958372,889.5485742,6.063291827,1.039069329,Cereal,High,0.8050991344
Sandy soil,35.88320634,1710.566992,5.305861818,2.606588172,Pulses,Low,0.6851508843
Red soil,28.51018595,1844.922693,9.459017889,1.807215733,Fruit/Vegetable,Low,0.9219934839
Black soil,17.53789205,1717.295983,11.66801983,3.00184606,Commercial,Medium,0.8214581811
Red soil,37.48768001,1776.852714,7.009381005,3.386369336,Pulses,Medium,0.6270513452
Red soil,30.82155546,2991.068237,6.14926004,4.093829366,Pulses,Low,0.530695145
Red soil,28.87993567,2380.507394,5.290422216,2.152294782,Fruit/Vegetable,Medium,0.8261546084
Red soil,30.78749092,597.7215123,9.481847442,3.063846795,Fruit/Vegetable,High,0.9040353288
Clayey soil,34.83259909,1119.175688,11.8588968,1.805943737,Commercial,High,0.697001105
Clayey soil,23.87202182,2638.721569,11.20809292,2.476023302,Commercial,High,0.9638746155
Red soil,19.32469909,2090.611395,7.289327074,3.865681033,Pulses,Low,0.6052361717
Clayey soil,29.65210059,2745.176562,11.82712509,3.238142944,Commercial,Low,0.5518140303
Clayey soil,15.46934274,1751.897358,9.746909424,1.997043154,Cereal,Low,0.9679574929
Black soil,18.05219092,2633.017827,6.272702171,4.353310589,Cereal,Low,0.9215398396
Black soil,39.99814563,1973.132847,11.76991326,1.246850781,Fruit/Vegetable,Medium,0.8393203173
Sandy soil,26.82804643,1191.276862,9.972788582,4.623314694,Pulses,Low,0.9908337465
Red soil,18.88787454,2534.454219,11.04287929,3.708322211,Cereal,Low,0.7149777408
Clayey soil,15.97204666,1235.289549,10.75331794,1.268103601,Commercial,High,0.7858861599
Clayey soil,28.35139421,2809.89963,11.07906472,1.123742571,Commercial,Medium,0.6142398688
Loamy soil,37.32143301,1529.405543,4.66914466,3.014873197,Fruit/Vegetable,Medium,0.6418643757
Sandy soil,31.54948977,2542.971325,7.1265385,3.459532951,Pulses,Low,0.6346531263
Red soil,27.46709463,2317.034632,8.527360791,2.724807734,Fruit/Vegetable,High,0.9224765142
Loamy soil,22.19362121,959.5329345,11.76462248,3.348138574,Commercial,Low,0.9006321434
Loamy soil,33.8856204,1402.851609,10.92365011,1.835931807,Fruit/Vegetable,Low,0.9984363665
Sandy soil,19.88682603,2182.304888,6.186856021,4.576640868,Fruit/Vegetable,Medium,0.9251922117
Clayey soil,23.37567083,2509.680367,8.343658962,3.587935645,Cereal,High,0.7088236957
Sandy soil,39.18972933,668.6656788,4.43803953,2.267300387,Commercial,Medium,0.7111374602
Black soil,18.77638905,2832.950299,10.15616498,3.461959858,Fruit/Vegetable,Low,0.550206443
Loamy soil,15.0279849,885.8663256,4.415459245,1.816291215,Cereal,High,0.7316983577
Loamy soil,29.60123125,2819.296898,8.064816593,4.587630542,Commercial,High,0.8695396499
Sandy soil,26.0344488,2710.479883,11.83581971,4.700306174,Cereal,Low,0.8961418304
Red soil,35.2055883,2176.704037,8.553623039,2.108779,Commercial,Medium,0.7759833634
Red soil,23.21577019,1471.203347,6.970420535,1.018758614,Cereal,Low,0.7123810954
Red soil,25.49606747,1338.377686,6.908123365,1.684061104,Cereal,Low,0.8232191591
Red soil,23.66946604,2717.851165,6.915406055,2.738346806,Cereal,High,0.5826153289
Black soil,20.97038951,2621.911146,9.630478162,3.363197848,Pulses,High,0.5196929184
Sandy soil,32.41759012,2859.631338,6.74284258,3.286670216,Pulses,Medium,0.5836328836
